State_UT,District,Registration_Date,Year,Month,Vehicle_Category,Fuel_Type,Manufacturer,Monthly_EV_Registrations,Charging_Stations,Population
Odisha,Bhubaneswar,2024-08-13,2024,8,Car,Battery Electric (BEV),MG Motor,2,32.0,46000000
Delhi,New Delhi,2022-01-19,2022,1,Commercial,Battery Electric (BEV),Eicher Motors,1,60.0,32000000
Uttar Pradesh,Noida,2019-05-13,2019,5,2W,Battery Electric (BEV),TVS Motor,27,31.0,231000000
Uttar Pradesh,Varanasi,2019-01-04,2019,1,2W,Battery Electric (BEV),TVS Motor,44,22.0,231000000
Goa,South Goa,2023-07-01,2023,7,Commercial,Battery Electric (BEV),Ashok Leyland,0,20.0,1600000
Tamil Nadu,Madurai,2021-11-21,2021,11,Car,Battery Electric (BEV),BYD,3 ,33.0,77000000
Gujarat,Ahmedabad,2025-06-10,2025,6,2W,Plug-in Hybrid (PHEV),Ola Electric,87,189.0,71000000
West Bengal,Kolkata,2023-05-16,2023,5,3W,Battery Electric (BEV),Bajaj Auto,11,63.0,99000000
Andhra Pradesh,Guntur,2019-08-25,2019,8,Bus,Battery Electric (BEV),Ashok Leyland,0,26.0,53000000
Maharashtra,Pune,2025-04-22,2025,4,3W,Battery Electric (BEV),Kinetic Green,51,110.0,123000000
Karnataka,Bengaluru Urban,2019-05-25,2019,5,3W,Battery Electric (BEV),YC Electric,2,38.0,67000000
Uttar Pradesh,Lucknow,2024-06-18,2024,6,Car,Plug-in Hybrid (PHEV),Tata Motors,59,108.0,231000000
Maharashtra,Mumbai City,2020-09-18,2020,9,Car,Battery Electric (BEV),Hyundai,2,63.0,123000000
West Bengal,,2025-02-07,2025,2,Car,Plug-in Hybrid (PHEV),BYD,12,105.0,99000000
Rajasthan,Jaipur,2023-02-04,2023,2,3W,Battery Electric (BEV),Piaggio,5,56.0,81000000
Kerala,Ernakulam,2019-05-17,2019,5,3W,Battery Electric (BEV),YC Electric,0,22.0,35000000
Madhya Pradesh,Bhopal,2024-12-16,2024,12,Bus,Plug-in Hybrid (PHEV),PMI Electro,2,60.0,85000000
Assam,Guwahati,2024-01-12,2024,1,3W,Battery Electric (BEV),Piaggio,2,24.0,35000000
West Bengal,Howrah,2018-02-12,2018,2,2W,Battery Electric (BEV),Ather Energy,5,11.0,99000000
Uttar Pradesh,Varanasi,2022-10-27,2022,10,Bus,Battery Electric (BEV),Ashok Leyland,3,65.0,231000000
Himachal Pradesh,Kangra,2019-08-22,2019,8,Car,Battery Electric (BEV),Tata Motors,0,5.0,7500000
Uttar Pradesh,Noida,2020-07-10,2020,7,Commercial,Battery Electric (BEV),Eicher Motors,2,69.0,231000000
Chhattisgarh,Raipur,2023-12-18,2023,12,Commercial,Battery Electric (BEV),Tata Motors,0,22.0,30000000
Tamil Nadu,Madurai,2025-05-24,2025,5,Commercial,Battery Electric (BEV),Tata Motors,7,119.0,77000000
Bihar,Gaya,2024-08-21,2024,8,3W,Battery Electric (BEV),Mahindra Electric,7,15.0,128000000
Karnataka,,2021-12-19,2021,12,Car,Battery Electric (BEV),Hyundai,3,,67000000
Haryana,Gurugram,2021-04-18,2021,4,2W,Battery Electric (BEV),Ather Energy,4,44.0,30000000
Karnataka,Mysuru,2025-04-21,2025,4,Bus,Battery Electric (BEV),Olectra Greentech,5,152.0,67000000
Jharkhand,Jamshedpur,2019-02-21,2019,2,3W,Battery Electric (BEV),Bajaj Auto,0,17.0,39000000
West Bengal,Howrah,2021-08-22,2021,8,3W,Battery Electric (BEV),YC Electric,1,42.0,99000000
Andhra Pradesh,Visakhapatnam,2022-08-22,2022,8,Car,Battery Electric (BEV),Kia,3,25.0,53000000
Andhra Pradesh,Visakhapatnam,2019-05-09,2019,5,2W,Battery Electric (BEV),Hero Electric,3,16.0,53000000
Haryana,Panipat,2024-06-09,2024,6,Bus,Battery Electric (BEV),Tata Motors,0,87.0,30000000
Jharkhand,Dhanbad,2018-11-25,2018,11,2W,Battery Electric (BEV),Ather Energy,1,0.0,39000000
Telangana,Hyderabad,2023-04-26,2023,4,Bus,Battery Electric (BEV),Ashok Leyland,1,51.0,39000000
Madhya Pradesh,Gwalior,2020-03-24,2020,3,Car,Battery Electric (BEV),Kia,1,27.0,85000000
Karnataka,Mangaluru,2022-09-17,2022,9,Commercial,Battery Electric (BEV),Eicher Motors,2,39.0,67000000
Andhra Pradesh,Visakhapatnam,2023-09-19,2023,9,3W,Battery Electric (BEV),YC Electric,7,60.0,53000000
Uttar Pradesh,Varanasi,2018-03-15,2018,3,Bus,Battery Electric (BEV),Olectra Greentech,1,8.0,231000000
Assam,Silchar,2019-12-20,2019,12,2W,Battery Electric (BEV),Hero Electric,1,11.0,35000000
Haryana,Gurugram,2025-05-09,2025,5,Car,Battery Electric (BEV),Hyundai,4,58.0,30000000
Kerala,Ernakulam,2025-06-07,2025,6,Car,Battery Electric (BEV),BYD,7,73.0,35000000
Delhi,North Delhi,2023-07-13,2023,7,Car,Battery Electric (BEV),Hyundai,7,144.0,32000000
Madhya Pradesh,Indore,2021-10-10,2021,10,2W,Battery Electric (BEV),Okinawa Autotech,8,13.0,85000000
Telangana,Warangal,2018-10-20,2018,10,Bus,Plug-in Hybrid (PHEV),Olectra Greentech,0,6.0,39000000
Uttar Pradesh,Noida,2020-11-01,2020,11,Commercial,Battery Electric (BEV),Ashok Leyland,1,67.0,231000000
Tamil Nadu,Chennai,2021-05-25,2021,5,3W,Battery Electric (BEV),Bajaj Auto,4,42.0,77000000
Delhi,North Delhi,2020-07-13,2020,7,2W,Battery Electric (BEV),Ather Energy,3,69.0,32000000
Bihar,Bhagalpur,2019-11-03,2019,11,Car,Plug-in Hybrid (PHEV),Kia,1,8.0,128000000
Andhra Pradesh,Vijayawada,2022-09-13,2022,9,3W,Battery Electric (BEV),Kinetic Green,3,47.0,53000000
Karnataka,Hubli,2025-03-10,2025,3,Commercial,Battery Electric (BEV),Tata Motors,7,69.0,67000000
West Bengal,,2023-04-20,2023,4,2W,Battery Electric (BEV),Ola Electric,42,72.0,99000000
Punjab,Jalandhar,2025-01-27,2025,1,3W,Battery Electric (BEV),Bajaj Auto,4,48.0,30000000
Andhra Pradesh,Vijayawada,2018-03-08,2018,3,3W,Battery Electric (BEV),Kinetic Green,0,5.0,53000000
Bihar,Patna,2018-09-14,2018,9,3W,Plug-in Hybrid (PHEV),YC Electric,0,0.0,128000000
Maharashtra,Thane,2025-03-27,2025,3,2W,Battery Electric (BEV),Ola Electric,192,197.0,123000000
Jharkhand,Ranchi,2023-09-17,2023,9,3W,Battery Electric (BEV),YC Electric,2 ,21.0,39000000
Karnataka,Mysuru,2024-06-04,2024,6,Commercial,Battery Electric (BEV),Ashok Leyland,6,161.0,67000000
Delhi,New Delhi,2023-12-22,2023,12,Car,Battery Electric (BEV),Hyundai,5,76.0,32000000
Odisha,Bhubaneswar,2024-08-24,2024,8,2W,Plug-in Hybrid (PHEV),Ather Energy,12,32.0,46000000
Odisha,Rourkela,2021-12-26,2021,12,2W,Battery Electric (BEV),Bajaj Auto,2,18.0,46000000
Punjab,Jalandhar,2024-09-13,2024,9,2W,Battery Electric (BEV),Ather Energy,12,23.0,30000000
Bihar,,2022-05-07,2022,5,2W,,,17,,128000000
Maharashtra,Nagpur,2022-09-13,2022,9,Commercial,Battery Electric (BEV),Tata Motors,4,47.0,123000000
Madhya Pradesh,Bhopal,2022-03-06,2022,3,Car,Battery Electric (BEV),MG Motor,5,50.0,85000000
West Bengal,Kolkata,2025-04-12,2025,4,Car,Battery Electric (BEV),Tata Motors,22,79.0,99000000
Gujarat,Rajkot,2024-09-12,2024,9,Bus,Battery Electric (BEV),Ashok Leyland,3,131.0,71000000
Gujarat,Rajkot,2022-03-15,2022,3,Bus,Battery Electric (BEV),PMI Electro,3,73.0,71000000
Karnataka,Mangaluru,2024-09-20,2024,9,2W,Battery Electric (BEV),Ather Energy,73,133.0,67000000
Rajasthan,Jaipur,2023-01-24,2023,1,Commercial,Battery Electric (BEV),Mahindra Electric,3,82.0,81000000
Karnataka,Bengaluru Urban,2024-09-11,2024,9,3W,Battery Electric (BEV),Kinetic Green,15,159.0,67000000
Bihar,Gaya,2018-08-25,2018,8,2W,Plug-in Hybrid (PHEV),Ola Electric,2,0.0,128000000
Tamil Nadu,Salem,2024-05-17,2024,5,2W,Battery Electric (BEV),Hero Electric,60,108.0,77000000
Odisha,Bhubaneswar,2025-01-06,2025,1,Commercial,Plug-in Hybrid (PHEV),Eicher Motors,1,48.0,46000000
Uttarakhand,Haridwar,2022-12-03,2022,12,Commercial,Battery Electric (BEV),Eicher Motors,0,25.0,11000000
Rajasthan,Jaipur,2022-08-19,2022,8,Car,Battery Electric (BEV),Hyundai,4,42.0,81000000
Chandigarh,Chandigarh,2022-09-19,2022,9,Bus,Plug-in Hybrid (PHEV),Ashok Leyland,0,15.0,1200000
Chandigarh,,2020-12-03,2020,12,Commercial,Battery Electric (BEV),Ashok Leyland,0,,1200000
Jharkhand,Jamshedpur,2023-04-06,2023,4,Commercial,Battery Electric (BEV),Mahindra Electric,0,33.0,39000000
Kerala,Kozhikode,2023-09-24,2023,9,Car,Battery Electric (BEV),Tata Motors,2,32.0,35000000
Goa,North Goa,2023-09-13,2023,9,Commercial,Battery Electric (BEV),Tata Motors,0,22.0,1600000
Assam,Dibrugarh,2020-05-04,2020,5,Bus,Battery Electric (BEV),PMI Electro,0,14.0,35000000
Maharashtra,Nashik,2022-12-13,2022,12,2W,Battery Electric (BEV),Bajaj Auto,54,54.0,123000000
Rajasthan,Jaipur,2019-01-18,2019,1,3W,Battery Electric (BEV),YC Electric,1,26.0,81000000
Bihar,Gaya,2018-11-19,2018,11,Commercial,Plug-in Hybrid (PHEV),Mahindra Electric,0,10.0,128000000
Odisha,Cuttack,2023-12-10,2023,12,3W,Battery Electric (BEV),Bajaj Auto,2,33.0,46000000
Telangana,Warangal,2022-11-16,2022,11,3W,Battery Electric (BEV),Bajaj Auto,4,113.0,39000000
Assam,Dibrugarh,2021-05-04,2021,5,2W,Battery Electric (BEV),Bajaj Auto,2,5.0,35000000
Bihar,Patna,2023-04-27,2023,4,Commercial,Plug-in Hybrid (PHEV),Mahindra Electric,2,24.0,128000000
Karnataka,Bengaluru Urban,2022-08-18,2022,8,Bus,Battery Electric (BEV),Olectra Greentech,1,79.0,67000000
Bihar,Patna,2023-05-20,2023,5,3W,Battery Electric (BEV),Mahindra Electric,5,15.0,128000000
Uttar Pradesh,Kanpur,2023-02-08,2023,2,Commercial,Battery Electric (BEV),Ashok Leyland,19,116.0,231000000
Uttarakhand,Haridwar,2019-04-14,2019,4,3W,Battery Electric (BEV),Piaggio,0,0.0,11000000
Uttar Pradesh,Lucknow,2021-02-08,2021,2,Bus,Plug-in Hybrid (PHEV),Tata Motors,4,96.0,231000000
Chhattisgarh,Bilaspur,2025-06-22,2025,6,2W,Battery Electric (BEV),Ather Energy,11,43.0,30000000
Chandigarh,Chandigarh,2023-01-03,2023,1,Bus,Battery Electric (BEV),Olectra Greentech,0,42.0,1200000
Haryana,Gurugram,2020-08-15,2020,8,2W,Battery Electric (BEV),Hero Electric,1,35.0,30000000
Rajasthan,Jodhpur,2019-02-25,2019,2,3W,Battery Electric (BEV),YC Electric,1,23.0,81000000
Bihar,Gaya,2018-12-15,2018,12,2W,Battery Electric (BEV),Ather Energy,4,0.0,128000000
Uttar Pradesh,Noida,2022-06-27,2022,6,Car,Battery Electric (BEV),Tata Motors,28,90.0,231000000
West Bengal,Howrah,2023-01-11,2023,1,Car,Battery Electric (BEV),Tata Motors,9,74.0,99000000
Maharashtra,Thane,2020-04-15,2020,4,Bus,Plug-in Hybrid (PHEV),Tata Motors,0,27.0,123000000
Madhya Pradesh,Indore,2022-01-18,2022,1,3W,Battery Electric (BEV),YC Electric,5,49.0,85000000
Maharashtra,Nashik,2023-10-03,2023,10,Car,Battery Electric (BEV),BYD,17,117.0,123000000
Gujarat,Ahmedabad,2021-11-13,2021,11,3W,Battery Electric (BEV),Kinetic Green,4,86.0,71000000
Delhi,South Delhi,2019-02-12,2019,2,Bus,Battery Electric (BEV),Ashok Leyland,0,26.0,32000000
Goa,North Goa,2024-12-06,2024,12,Car,Battery Electric (BEV),Kia,0,24.0,1600000
TamilNadu,Chennai,2023-11-21,2023,11,Bus,Battery Electric (BEV),Ashok Leyland,2,67.0,77000000
Madhya Pradesh,Bhopal,2024-05-07,2024,5,Car,Battery Electric (BEV),Mahindra Electric,10,33.0,85000000
Telangana,Warangal,2024-10-12,2024,10,Car,Battery Electric (BEV),MG Motor,6,96.0,39000000
Karnataka,Mangaluru,2018-06-01,2018,6,Car,Battery Electric (BEV),Tata Motors,0 ,2.0,67000000
Tamil Nadu,Chennai,2018-06-14,2018,6,2W,Battery Electric (BEV),Ola Electric,5,9.0,77000000
Jammu and Kashmir,Srinagar,2023-05-14,2023,5,Commercial,Battery Electric (BEV),Eicher Motors,0 ,27.0,13000000
Haryana,Panipat,2025-02-15,2025,2,Commercial,Plug-in Hybrid (PHEV),Tata Motors,1,56.0,30000000
Rajasthan,Jaipur,2021-11-09,2021,11,Car,Battery Electric (BEV),Tata Motors,2,55.0,81000000
Uttar Pradesh,Noida,2021-08-02,2021,8,3W,Battery Electric (BEV),Kinetic Green,6,37.0,231000000
West Bengal,Howrah,2025-05-19,2025,5,Car,Battery Electric (BEV),BYD,12,108.0,99000000
Uttarakhand,Haridwar,2024-01-24,2024,1,Commercial,Battery Electric (BEV),Tata Motors,0,33.0,11000000
Maharashtra,Nagpur,2023-02-22,2023,2,Car,Battery Electric (BEV),Tata Motors,22,84.0,123000000
Tamil Nadu,Coimbatore,2022-09-09,2022,9,Bus,Battery Electric (BEV),Olectra Greentech,1,74.0,77000000
Haryana,Panipat,2019-06-05,2019,6,2W,Battery Electric (BEV),Ather Energy,2,25.0,30000000
DELHI,North Delhi,2022-10-05,2022,10,Commercial,Plug-in Hybrid (PHEV),Tata Motors,1,39.0,32000000
Jammu and Kashmir,Jammu,2023-03-23,2023,3,2W,Battery Electric (BEV),TVS Motor,3,15.0,13000000
Bihar,Bhagalpur,2025-06-08,2025,6,2W,Battery Electric (BEV),Bajaj Auto,53,33.0,128000000
UP,Kanpur,2022-01-09,2022,1,Car,Plug-in Hybrid (PHEV),BYD,26,110.0,231000000
Delhi,New Delhi,2024-04-20,2024,4,Bus,Battery Electric (BEV),PMI Electro,1,172.0,32000000
Bihar,Bhagalpur,2024-06-18,2024,6,3W,Battery Electric (BEV),Bajaj Auto,10,32.0,128000000
Rajasthan,Udaipur,2025-02-07,2025,2,Car,Battery Electric (BEV),MG Motor,12,70.0,81000000
Haryana,Panipat,2025-02-01,2025,2,Car,Battery Electric (BEV),Hyundai,3,94.0,30000000
Punjab,Ludhiana,2021-04-06,2021,4,Car,Battery Electric (BEV),MG Motor,1,38.0,30000000
Uttar Pradesh,Ghaziabad,2024-06-20,2024,6,2W,Plug-in Hybrid (PHEV),Bajaj Auto,296,82.0,231000000
Haryana,Gurugram,2021-11-05,2021,11,Commercial,Battery Electric (BEV),Ashok Leyland,0,41.0,30000000
Goa,North Goa,2021-01-23,2021,1,Car,Battery Electric (BEV),Hyundai,0,24.0,1600000
Gujarat,Ahmedabad,2022-04-12,2022,4,Bus,Battery Electric (BEV),PMI Electro,1,70.0,71000000
Tamil Nadu,Madurai,2023-05-02,2023,5,Car,Battery Electric (BEV),MG Motor,8,66.0,77000000
Madhya Pradesh,Indore,2018-10-10,2018,10,2W,Battery Electric (BEV),Bajaj Auto,3,3.0,85000000
Uttar Pradesh,Lucknow,2018-12-26,2018,12,Bus,Battery Electric (BEV),PMI Electro,1,23.0,231000000
Karnataka,Bengaluru Urban,2021-07-05,2021,7,2W,Battery Electric (BEV),Ather Energy,15,51.0,67000000
Bihar,Gaya,2024-04-24,2024,4,Commercial,Battery Electric (BEV),Tata Motors,3,46.0,128000000
Maharashtra,Nagpur,2018-04-24,2018,4,Car,Battery Electric (BEV),Kia,3,9.0,123000000
Uttarakhand,Haridwar,2023-05-08,2023,5,2W,Battery Electric (BEV),Okinawa Autotech,2,19.0,11000000
Bihar,Patna,2022-08-16,2022,8,Bus,Plug-in Hybrid (PHEV),Ashok Leyland,0,17.0,128000000
Maharashtra,Nagpur,2023-11-24,2023,11,2W,Battery Electric (BEV),Ather Energy,79,62.0,123000000
Gujarat,Vadodara,2019-05-14,2019,5,3W,Battery Electric (BEV),Mahindra Electric,3,17.0,71000000
Uttar Pradesh,Lucknow,2024-04-12,2024,4,3W,Battery Electric (BEV),YC Electric,75,160.0,231000000
Maharashtra,Nashik,2025-03-16,2025,3,3W,Battery Electric (BEV),Mahindra Electric,45,153.0,123000000
Karnataka,,2020-01-02,2020,1,2W,Battery Electric (BEV),Ather Energy,5,33.0,67000000
West Bengal,Siliguri,2022-09-18,2022,9,2W,Battery Electric (BEV),Hero Electric,30,61.0,99000000
West Bengal,Siliguri,2018-09-13,2018,9,2W,Battery Electric (BEV),Bajaj Auto,5,1.0,99000000
ODISHA,Rourkela,2023-07-14,2023,7,3W,Battery Electric (BEV),Piaggio,2,23.0,46000000
Rajasthan,Jaipur,2020-02-05,2020,2,Commercial,Battery Electric (BEV),Eicher Motors,0,19.0,81000000
Goa,North Goa,2024-10-15,2024,10,Commercial,Battery Electric (BEV),Eicher Motors,0,38.0,1600000
Gujarat,Vadodara,2021-03-16,2021,3,Commercial,Battery Electric (BEV),Eicher Motors,2,77.0,71000000
Uttar Pradesh,Varanasi,2021-05-17,2021,5,Car,Battery Electric (BEV),BYD,9,52.0,231000000
Jammu and Kashmir,Srinagar,2021-06-06,2021,6,2W,Battery Electric (BEV),Ather Energy,1,17.0,13000000
Assam,Silchar,2025-06-05,2025,6,Car,Battery Electric (BEV),Mahindra Electric,2,53.0,35000000
Delhi,North Delhi,2025-02-17,2025,2,Commercial,Battery Electric (BEV),Ashok Leyland,2,131.0,32000000
west bengal,Howrah,2025-06-09,2025,6,3W,Battery Electric (BEV),Piaggio,14,72.0,99000000
Maharashtra,,2023-04-22,2023,4,Car,Battery Electric (BEV),MG Motor,31,,123000000
West Bengal,Howrah,2022-11-10,2022,11,2W,Battery Electric (BEV),Hero Electric,27,51.0,99000000
Chandigarh,Chandigarh,2024-10-23,2024,10,2W,Battery Electric (BEV),Ola Electric,0,23.0,1200000
Madhya Pradesh,Gwalior,2021-12-20,2021,12,Car,Battery Electric (BEV),Tata Motors,2,42.0,85000000
Karnataka,Mangaluru,2023-06-16,2023,6,Bus,Battery Electric (BEV),Ashok Leyland,2,73.0,67000000
Himachal Pradesh,Kangra,2020-04-23,2020,4,Bus,Battery Electric (BEV),Tata Motors,0,14.0,7500000
Maharashtra,Nashik,2024-01-19,2024,1,2W,Battery Electric (BEV),Ola Electric,157,145.0,123000000
West Bengal,Durgapur,2020-05-27,2020,5,Bus,Battery Electric (BEV),Tata Motors,0,29.0,99000000
Himachal Pradesh,Kangra,2024-03-04,2024,3,Commercial,Battery Electric (BEV),Ashok Leyland,0,25.0,7500000
Rajasthan,Jaipur,2025-01-10,2025,1,3W,Battery Electric (BEV),Kinetic Green,14,42.0,81000000
Delhi,South Delhi,2019-04-04,2019,4,Car,Battery Electric (BEV),Tata Motors,1,47.0,32000000
Madhya Pradesh,Bhopal,2023-10-17,2023,10,3W,Battery Electric (BEV),Kinetic Green,6,74.0,85000000
Telangana,Hyderabad,2024-10-25,2024,10,2W,Battery Electric (BEV),Ather Energy,20,72.0,39000000
Madhya Pradesh,Indore,2021-12-24,2021,12,3W,Battery Electric (BEV),YC Electric,3,55.0,85000000
Delhi,North Delhi,2024-03-13,2024,3,3W,Battery Electric (BEV),Mahindra Electric,5,78.0,32000000
Karnataka,,2018-07-06,2018,7,Car,Battery Electric (BEV),Tata Motors,1,21.0,67000000
Goa,North Goa,2024-05-09,2024,5,Car,Battery Electric (BEV),Mahindra Electric,0 ,47.0,1600000
Jharkhand,Jamshedpur,2024-02-03,2024,2,2W,Battery Electric (BEV),Ola Electric,7,34.0,39000000
Odisha,Cuttack,2019-07-11,2019,7,Car,Battery Electric (BEV),MG Motor,0,8.0,46000000
Himachal Pradesh,Kangra,2021-09-19,2021,9,Bus,Battery Electric (BEV),PMI Electro,0,25.0,7500000
West Bengal,Siliguri,2019-03-18,2019,3,Car,Battery Electric (BEV),Mahindra Electric,2,9.0,99000000
Jammu and Kashmir,Jammu,2025-01-06,2025,1,3W,Battery Electric (BEV),Bajaj Auto,1,39.0,13000000
West Bengal,Siliguri,2023-10-03,2023,10,2W,Battery Electric (BEV),Okinawa Autotech,42,83.0,99000000
Tamil Nadu,Chennai,2021-02-26,2021,2,2W,Battery Electric (BEV),TVS Motor,10,98.0,77000000
Andhra Pradesh,Vijayawada,2019-09-25,2019,9,2W,Battery Electric (BEV),Okinawa Autotech,2,12.0,53000000
Delhi,New Delhi,2019-02-03,2019,2,3W,Battery Electric (BEV),Mahindra Electric,1,32.0,32000000
Delhi,New Delhi,2024-12-27,2024,12,Bus,Battery Electric (BEV),Ashok Leyland,1,107.0,32000000
Uttar Pradesh,Kanpur,2018-12-04,2018,12,Car,Battery Electric (BEV),Mahindra Electric,7,15.0,231000000
Uttar Pradesh,Varanasi,2021-05-07,2021,5,Bus,Plug-in Hybrid (PHEV),Ashok Leyland,2,76.0,231000000
Odisha,Rourkela,2020-07-12,2020,7,2W,Battery Electric (BEV),Ola Electric,1,8.0,46000000
Jharkhand,Ranchi,2019-08-01,2019,8,2W,Battery Electric (BEV),Okinawa Autotech,1,9.0,39000000
Odisha,Cuttack,2023-05-21,2023,5,Bus,Battery Electric (BEV),PMI Electro,0,33.0,46000000
West Bengal,Howrah,2021-03-02,2021,3,Bus,Battery Electric (BEV),PMI Electro,0,52.0,99000000
West Bengal,Howrah,2024-07-09,2024,7,Car,Battery Electric (BEV),Kia,16,81.0,99000000
Rajasthan,Jaipur,2023-08-18,2023,8,2W,Battery Electric (BEV),Hero Electric,26,49.0,81000000
Tamil Nadu,Salem,2021-08-06,2021,8,3W,Battery Electric (BEV),Kinetic Green,3,35.0,77000000
Tamil Nadu,Madurai,2023-10-11,2023,10,2W,Battery Electric (BEV),Okinawa Autotech,41,128.0,77000000
Chhattisgarh,,2019-08-21,2019,8,2W,,,1,,30000000
Delhi,North Delhi,2021-05-15,2021,5,2W,Battery Electric (BEV),TVS Motor,8,85.0,32000000
Kerala,Kozhikode,2024-09-14,2024,9,Commercial,Battery Electric (BEV),Mahindra Electric,2,79.0,35000000
Delhi,New Delhi,2023-12-06,2023,12,Bus,Plug-in Hybrid (PHEV),Olectra Greentech,1,70.0,32000000
Chhattisgarh,Raipur,2023-04-16,2023,4,3W,Battery Electric (BEV),YC Electric,1,33.0,30000000
West Bengal,Siliguri,2023-05-12,2023,5,Commercial,Battery Electric (BEV),Eicher Motors,3 ,59.0,99000000
Maharashtra,Thane,2023-11-16,2023,11,Bus,Battery Electric (BEV),Ashok Leyland,3,118.0,123000000
Maharashtra,Nashik,2020-12-05,2020,12,2W,Battery Electric (BEV),Ather Energy,14,28.0,123000000
Maharashtra,Nagpur,2019-07-01,2019,7,Bus,Battery Electric (BEV),Olectra Greentech,1,25.0,123000000
Delhi,East Delhi,2018-05-02,2018,5,2W,Battery Electric (BEV),Ather Energy,3,20.0,32000000
TamilNadu,Coimbatore,2020-09-12,2020,9,3W,Battery Electric (BEV),Piaggio,2,51.0,77000000
Madhya Pradesh,Indore,2022-05-23,2022,5,3W,Battery Electric (BEV),Bajaj Auto,4,61.0,85000000
Maharashtra,Mumbai City,2022-05-02,2022,5,Bus,Battery Electric (BEV),PMI Electro,4,57.0,123000000
West Bengal,Durgapur,2025-05-05,2025,5,2W,Battery Electric (BEV),TVS Motor,79,80.0,99000000
Delhi,North Delhi,2024-06-01,2024,6,Commercial,Battery Electric (BEV),Ashok Leyland,2,66.0,32000000
Rajasthan,Udaipur,2024-01-10,2024,1,2W,Battery Electric (BEV),Bajaj Auto,47,49.0,81000000
Jammu and Kashmir,Srinagar,2023-10-14,2023,10,Car,Battery Electric (BEV),Hyundai,0,25.0,13000000
Jharkhand,Dhanbad,2019-11-20,2019,11,2W,Battery Electric (BEV),TVS Motor,1,11.0,39000000
Haryana,Faridabad,2025-03-05,2025,3,2W,Battery Electric (BEV),TVS Motor,14,51.0,30000000
Odisha,Rourkela,2019-09-01,2019,9,3W,Battery Electric (BEV),Mahindra Electric,0,14.0,46000000
Maharashtra,Pune,2018-06-24,2018,6,3W,Battery Electric (BEV),YC Electric,3,16.0,123000000
Punjab,Amritsar,2022-06-06,2022,6,Commercial,Battery Electric (BEV),Ashok Leyland,0,76.0,30000000
Odisha,Bhubaneswar,2025-04-19,2025,4,Commercial,Battery Electric (BEV),Mahindra Electric,1,40.0,46000000
West Bengal,Howrah,2020-05-06,2020,5,3W,Plug-in Hybrid (PHEV),Piaggio,1,16.0,99000000
Tamil Nadu,Salem,2024-08-05,2024,8,Commercial,Battery Electric (BEV),Ashok Leyland,7,116.0,77000000
Gujarat,Surat,2019-04-22,2019,4,2W,Plug-in Hybrid (PHEV),Hero Electric,9,21.0,71000000
Haryana,Gurugram,2022-11-24,2022,11,3W,Battery Electric (BEV),Mahindra Electric,1 ,73.0,30000000
Kerala,Ernakulam,2020-02-18,2020,2,2W,Battery Electric (BEV),Hero Electric,2,38.0,35000000
MAHARASHTRA,Nagpur,2024-11-22,2024,11,Commercial,Battery Electric (BEV),Tata Motors,12,56.0,123000000
Telangana,Nizamabad,2022-03-07,2022,3,Commercial,Battery Electric (BEV),Mahindra Electric,2,56.0,39000000
Gujarat,Surat,2024-03-13,2024,3,Car,Battery Electric (BEV),MG Motor,12,123.0,71000000
Kerala,Ernakulam,2023-11-10,2023,11,Car,Battery Electric (BEV),Kia,2,62.0,35000000
Kerala,Kozhikode,2021-03-26,2021,3,3W,Battery Electric (BEV),Piaggio,1,34.0,35000000
Telangana,Hyderabad,2021-05-01,2021,5,3W,Battery Electric (BEV),YC Electric,1,94.0,39000000
Maharashtra,Pune,2020-04-21,2020,4,3W,Battery Electric (BEV),Piaggio,2,36.0,123000000
Bihar,Bhagalpur,2024-07-09,2024,7,Commercial,Battery Electric (BEV),Tata Motors,3,24.0,128000000
Delhi,North Delhi,2023-09-08,2023,9,2W,Battery Electric (BEV),Ola Electric,22,95.0,32000000
Madhya Pradesh,Gwalior,2018-09-26,2018,9,Car,Battery Electric (BEV),Tata Motors,0,2.0,85000000
west bengal,Siliguri,2019-10-13,2019,10,3W,Battery Electric (BEV),Mahindra Electric,1,18.0,99000000
Karnataka,Hubli,2023-07-02,2023,7,3W,Battery Electric (BEV),Bajaj Auto,6,50.0,67000000
WB,Siliguri,2022-06-23,2022,6,2W,Battery Electric (BEV),Ola Electric,20,60.0,99000000
Jammu and Kashmir,Jammu,2024-08-14,2024,8,2W,Battery Electric (BEV),Ather Energy,1,38.0,13000000
Assam,Guwahati,2020-07-16,2020,7,2W,Battery Electric (BEV),Bajaj Auto,1,16.0,35000000
Jammu and Kashmir,Jammu,2019-06-10,2019,6,Commercial,Plug-in Hybrid (PHEV),Ashok Leyland,0,22.0,13000000
New Delhi,North Delhi,2021-05-26,2021,5,3W,Plug-in Hybrid (PHEV),Mahindra Electric,1,80.0,32000000
west bengal,Howrah,2025-06-09,2025,6,3W,Battery Electric (BEV),Piaggio,14,72.0,99000000
Punjab,Ludhiana,2023-03-16,2023,3,3W,Battery Electric (BEV),YC Electric,2,52.0,30000000
Maharashtra,,2018-10-01,2018,10,3W,,,3,,123000000
Uttar Pradesh,Kanpur,2021-07-21,2021,7,Bus,Plug-in Hybrid (PHEV),Tata Motors,2,76.0,231000000
Gujarat,Vadodara,2021-11-05,2021,11,Car,Battery Electric (BEV),Mahindra Electric,5,46.0,71000000
